CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,89.3,93.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,91.7,93.7,96.54,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,51.97,36.36,17.89,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,87.12,81.74,93.83,100.0,80.28,0.0,0.0,0.0,0.0
Task 6,90.39,77.43,90.98,100.0,66.01,91.54,0.0,0.0,0.0
Task 7,88.21,73.76,91.43,100.0,72.77,90.3,80.03,0.0,0.0
Task 8,72.05,66.35,86.47,100.0,65.25,50.08,79.15,97.0,0.0
Task 9,84.28,85.96,94.29,100.0,75.27,79.5,79.28,81.17,81.95

	Average accuracy = 84.63
	Average forgetting = -6.87
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,92.58,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,48.25,83.25,96.09,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,52.84,20.49,59.25,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,51.53,74.32,95.34,100.0,73.86,0.0,0.0,0.0,0.0
Task 6,42.58,71.21,84.66,100.0,65.14,85.71,0.0,0.0,0.0
Task 7,53.49,78.07,96.09,100.0,68.63,85.02,89.74,0.0,0.0
Task 8,33.41,70.41,90.83,100.0,62.96,70.26,84.28,96.17,0.0
Task 9,41.92,69.46,91.28,100.0,60.24,73.21,84.68,95.67,78.54

	Average accuracy = 77.22
	Average forgetting = -14.46
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,94.54,84.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,94.76,82.78,93.83,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,68.56,78.15,93.83,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,85.59,72.09,84.51,100.0,54.58,0.0,0.0,0.0,0.0
Task 6,77.07,35.17,80.6,100.0,34.75,85.33,0.0,0.0,0.0
Task 7,77.95,70.81,84.51,100.0,49.46,82.92,89.88,0.0,0.0
Task 8,74.89,62.68,83.01,100.0,46.08,73.06,87.18,94.33,0.0
Task 9,86.03,68.98,78.5,100.0,37.25,79.58,85.76,94.67,84.39

	Average accuracy = 79.46
	Average forgetting = -8.22
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,79.26,74.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,67.25,29.35,84.81,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,32.97,53.99,84.96,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,47.82,48.17,84.96,100.0,77.34,0.0,0.0,0.0,0.0
Task 6,56.33,41.39,83.91,100.0,75.38,86.02,0.0,0.0,0.0
Task 7,51.09,28.63,84.21,100.0,57.52,86.8,86.84,0.0,0.0
Task 8,49.56,30.54,83.61,100.0,53.38,85.56,86.23,95.67,0.0
Task 9,48.25,42.03,82.56,100.0,54.68,86.72,81.38,89.67,78.05

	Average accuracy = 73.7
	Average forgetting = -14.58
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,95.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,93.01,91.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,91.7,47.69,94.89,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,47.38,22.17,65.11,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,77.95,43.38,80.45,100.0,51.42,0.0,0.0,0.0,0.0
Task 6,76.42,37.24,72.18,100.0,50.87,84.16,0.0,0.0,0.0
Task 7,91.92,43.94,81.5,100.0,51.31,85.4,90.96,0.0,0.0
Task 8,67.69,49.2,70.38,100.0,50.98,48.29,76.18,95.5,0.0
Task 9,85.15,55.1,71.28,100.0,51.31,79.97,85.7,83.0,79.51

	Average accuracy = 76.78
	Average forgetting = -11.57
