CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,96.51,95.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,93.89,94.74,95.94,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,93.23,93.46,95.94,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,95.41,94.58,95.49,100.0,90.74,0.0,0.0,0.0,0.0
Task 6,95.63,94.98,95.49,100.0,91.61,95.5,0.0,0.0,0.0
Task 7,90.61,92.74,96.09,100.0,89.0,94.41,93.25,0.0,0.0
Task 8,86.03,92.5,97.44,100.0,88.78,94.41,91.7,98.17,0.0
Task 9,94.98,92.9,95.64,100.0,86.82,94.25,90.35,98.0,81.46

	Average accuracy = 92.71
	Average forgetting = -1.56
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,96.07,94.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,89.08,94.66,96.99,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,93.01,93.38,97.74,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,75.33,95.22,95.34,100.0,89.32,0.0,0.0,0.0,0.0
Task 6,84.28,94.1,93.53,100.0,90.2,95.34,0.0,0.0,0.0
Task 7,75.33,94.42,94.14,100.0,88.02,96.2,93.66,0.0,0.0
Task 8,75.33,94.18,96.69,100.0,89.54,95.26,92.58,98.17,0.0
Task 9,81.66,94.18,96.69,100.0,87.69,95.89,91.84,97.83,79.51

	Average accuracy = 91.7
	Average forgetting = -2.38
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,90.61,93.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,94.76,93.78,96.09,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,75.11,93.06,95.79,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,89.3,94.1,95.19,100.0,93.25,0.0,0.0,0.0,0.0
Task 6,96.07,93.46,95.19,100.0,89.22,95.57,0.0,0.0,0.0
Task 7,91.48,92.74,95.49,100.0,87.69,96.12,93.05,0.0,0.0
Task 8,95.41,91.31,95.19,100.0,89.76,96.12,92.11,98.67,0.0
Task 9,81.22,93.7,96.09,100.0,89.0,96.12,91.63,97.17,82.44

	Average accuracy = 91.93
	Average forgetting = -2.44
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,97.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,93.67,94.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,93.01,94.82,95.94,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,90.17,94.66,96.69,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,93.67,93.86,95.79,100.0,90.96,0.0,0.0,0.0,0.0
Task 6,91.05,93.54,95.64,100.0,93.03,94.88,0.0,0.0,0.0
Task 7,91.05,94.66,95.34,100.0,89.11,96.74,91.23,0.0,0.0
Task 8,92.14,93.86,94.74,100.0,91.39,96.58,90.49,98.33,0.0
Task 9,89.3,94.1,95.94,100.0,91.18,96.82,91.09,98.17,85.85

	Average accuracy = 93.61
	Average forgetting = -0.78
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,95.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,94.76,94.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,94.54,94.34,96.24,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,94.98,94.02,96.39,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,94.1,94.58,94.44,100.0,91.72,0.0,0.0,0.0,0.0
Task 6,94.54,92.74,94.74,100.0,91.29,95.81,0.0,0.0,0.0
Task 7,93.45,94.26,97.89,100.0,91.18,94.88,92.51,0.0,0.0
Task 8,93.67,94.26,95.49,100.0,91.07,94.8,92.11,98.17,0.0
Task 9,90.17,93.46,95.04,100.0,90.63,94.18,91.7,98.33,83.9

	Average accuracy = 93.05
	Average forgetting = -1.43
