CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,96.94,95.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,96.29,93.38,95.49,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,95.41,93.14,96.54,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,89.74,94.42,94.74,100.0,90.41,0.0,0.0,0.0,0.0
Task 6,82.97,94.74,94.29,100.0,91.39,94.49,0.0,0.0,0.0
Task 7,88.21,94.82,94.89,100.0,89.98,94.41,91.63,0.0,0.0
Task 8,79.04,94.74,94.89,100.0,90.31,93.79,91.77,98.17,0.0
Task 9,87.34,94.34,96.09,100.0,90.31,93.25,91.03,98.0,80.49

	Average accuracy = 92.32
	Average forgetting = -1.47
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,95.85,94.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,91.48,95.14,96.69,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,93.23,93.38,97.44,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,91.48,95.22,96.84,100.0,90.41,0.0,0.0,0.0,0.0
Task 6,81.66,93.94,94.14,100.0,89.87,95.81,0.0,0.0,0.0
Task 7,87.12,94.18,94.29,100.0,90.31,96.27,93.99,0.0,0.0
Task 8,80.13,94.26,96.39,100.0,90.31,95.57,91.7,97.5,0.0
Task 9,90.17,93.7,96.09,100.0,89.54,94.88,90.76,97.0,80.49

	Average accuracy = 92.51
	Average forgetting = -1.68
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,94.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,91.7,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,89.3,94.82,95.79,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,86.46,93.46,95.34,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,81.0,93.78,94.44,100.0,91.94,0.0,0.0,0.0,0.0
Task 6,94.1,93.7,94.29,100.0,91.39,95.89,0.0,0.0,0.0
Task 7,95.2,93.46,94.74,100.0,91.18,95.73,93.05,0.0,0.0
Task 8,78.17,93.22,95.19,100.0,90.96,95.11,91.7,97.67,0.0
Task 9,92.36,94.26,95.04,100.0,89.43,95.19,92.17,96.0,83.41

	Average accuracy = 93.1
	Average forgetting = -1.0
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,97.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,90.17,94.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,87.77,92.98,95.94,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,83.19,93.78,95.34,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,89.52,94.18,96.99,100.0,89.98,0.0,0.0,0.0,0.0
Task 6,95.41,92.98,97.59,100.0,89.65,96.27,0.0,0.0,0.0
Task 7,89.52,93.62,96.39,100.0,87.25,95.5,93.25,0.0,0.0
Task 8,87.55,94.18,96.09,100.0,90.2,94.95,91.84,98.33,0.0
Task 9,88.21,94.98,95.94,100.0,88.67,95.57,92.38,97.0,83.41

	Average accuracy = 92.91
	Average forgetting = -1.57
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,95.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,94.32,94.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,94.32,94.34,97.29,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,94.76,94.82,98.95,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,94.76,94.74,95.04,100.0,92.05,0.0,0.0,0.0,0.0
Task 6,95.2,92.82,95.04,100.0,91.29,94.02,0.0,0.0,0.0
Task 7,94.98,91.79,95.19,100.0,91.83,95.26,93.93,0.0,0.0
Task 8,91.92,93.7,95.49,100.0,92.27,95.96,92.65,97.83,0.0
Task 9,93.45,92.74,95.79,100.0,90.63,95.65,92.78,98.0,82.44

	Average accuracy = 93.5
	Average forgetting = -0.84
